Code;Lizenztitel;Lizenz-URL
FreeImages.com;FreeImages.com Content License Agreement;http://www.freeimages.com/license
pixelio.de;pixelio.de Lizenzvertrag zur redaktionellen Nutzung;http://www.pixelio.de/static/lizenzvertrag_redaktionell
OpenClipart;Creative Commons Zero 1.0 Public Domain License;http://creativecommons.org/publicdomain/zero/1.0/
CC-BY-SA-2.5;Creative Commons Attribution-ShareAlike 2.5 Generic;https://creativecommons.org/licenses/by-sa/2.5/
CC-BY-SA-3.0;Creative Commons Attribution-ShareAlike 3.0 Generic;https://creativecommons.org/licenses/by-sa/3.0/
GNU FDL 1.2;GNU Free Documentation License 1.2;https://www.gnu.org/licenses/old-licenses/fdl-1.2.html
Volksmission Freudenstadt;Creative Commons Attribution-ShareAlike 4.0 International;https://creativecommons.org/licenses/by-sa/4.0/
CC-BY-SA-4.0;Creative Commons Attribution-ShareAlike 4.0 International;https://creativecommons.org/licenses/by-sa/4.0/
clker-OCAL;Creative Commons Zero 1.0 Public Domain License;http://creativecommons.org/publicdomain/zero/1.0/
pixabay;Creative Commons Zero 1.0 Public Domain License;http://creativecommons.org/publicdomain/zero/1.0/

